Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 72.23   4460.31  4460.31 4444113600     0.00     0.00  __mod_moloch_MOD_pfesat
  6.93   4888.42   428.11        1     0.43     0.43  __mod_clm_initimeconst_MOD_initimeconst
  4.23   5149.83   261.41     8640     0.00     0.00  __mod_micro_wsm5_MOD_nislfv_rain_plm
  4.15   5406.13   256.30     1440     0.00     0.00  __mod_micro_wsm5_MOD_wsm5
  3.20   5603.72   197.59     1440     0.00     0.00  __mod_pbl_holtbl_MOD_holtbl
  1.63   5704.48   100.76      287     0.00     0.00  __mod_cu_tables_MOD_init_convect_tables
  0.69   5747.07    42.59     1440     0.00     0.00  __mod_moloch_MOD_moloch
  0.50   5777.80    30.73     4320     0.00     0.00  __mod_bdycod_MOD_monudge3d
  0.46   5806.17    28.37      287     0.00     0.00  __mod_cu_tiedtke_MOD_tiedtkedrv
  0.43   5832.97    26.80       49     0.00     0.00  __mod_rad_radiation_MOD_radcsw
  0.38   5856.18    23.21     1440     0.00     0.00  __mod_bdycod_MOD_monudgeuv
  0.37   5878.85    22.67      145     0.00     0.00  __mod_clm_canopyfluxes_MOD_canopyfluxes
  0.35   5900.17    21.32    11890     0.00     0.00  __mod_clm_canopyfluxes_MOD_ci_func
  0.31   5919.47    19.30        2     0.01     0.01  __mod_rad_radiation_MOD_radabs
  0.28   5936.57    17.10     1440     0.00     0.00  __mod_cu_interface_MOD_cumulus
  0.28   5953.65    17.08      145     0.00     0.00  __mod_clm_soiltemperature_MOD_soiltemperature
  0.27   5970.29    16.64     1441     0.00     0.00  __mod_slice_MOD_mkslice
  0.21   5983.39    13.10       49     0.00     0.00  __mod_rad_colmod3_MOD_colmod3
  0.20   5995.60    12.21    14792     0.00     0.00  __mod_clm_subgridave_MOD_p2g_1d
  0.18   6006.83    11.23       49     0.00     0.00  __mod_rad_radiation_MOD_radclw
  0.17   6017.48    10.65     1440     0.00     0.00  __mod_micro_interface_MOD_cldfrac
  0.14   6025.90     8.42      145     0.00     0.00  __mod_clm_soilhydrology_MOD_soilwater
  0.12   6033.45     7.55     1440     0.00     0.00  __mod_cloud_subex_MOD_subex_cldfrac
  0.11   6039.98     6.53     4320     0.00     0.00  __mod_moloch_MOD_wstagtox
  0.10   6046.22     6.24    93602     0.00     0.00  __mod_mppparam_MOD_real8_3d_exchange_left_right_bottom_top
  0.10   6052.29     6.07 10191929     0.00     0.00  __mod_heatindex_MOD_solve3.constprop.3
  0.10   6058.19     5.90      145     0.00     0.00  __mod_clm_surfaceradiation_MOD_surfaceradiation
  0.09   6063.71     5.52 10782748     0.00     0.00  __mod_heatindex_MOD_solve1.constprop.1
  0.09   6068.99     5.28     4320     0.00     0.00  __mod_moloch_MOD_xtowstag
  0.08   6073.98     4.99 10782748     0.00     0.00  __mod_heatindex_MOD_solve2.constprop.2
  0.08   6078.96     4.98     7395     0.00     0.00  __mod_clm_frictionvelocity_MOD_frictionvelocity
  0.08   6083.88     4.92      145     0.00     0.00  __mod_clm_biogeophysics1_MOD_biogeophysics1
  0.08   6088.70     4.82 361522494     0.00     0.00  __mod_clm_canopyfluxes_MOD_quadratic
  0.07   6092.78     4.08      145     0.00     0.00  __mod_clm_biogeophysics2_MOD_biogeophysics2
  0.07   6096.85     4.07      145     0.00     0.00  __mod_clm_hydrology2_MOD_hydrology2
  0.06   6100.69     3.84     1451     0.00     0.00  __mod_clm_subgridave_MOD_c2g_2d
  0.06   6104.50     3.81    43245     0.00     0.00  __mod_mppparam_MOD_real8_3d_exchange
  0.06   6108.19     3.69       49     0.00     0.00  __mod_rad_aerosol_MOD_aeroppt
  0.06   6111.79     3.60 366045698     0.00     0.00  __lapack_dgbsv_MOD_dswap
  0.05   6115.00     3.21    10442     0.00     0.00  __mod_clm_subgridave_MOD_c2g_1d
  0.05   6118.09     3.09     1440     0.00     0.00  __mod_bdycod_MOD_bdyval
  0.05   6121.07     2.98      145     0.00     0.00  __mod_clm_baregroundfluxes_MOD_baregroundfluxes
  0.04   6123.64     2.57     2900     0.00     0.00  __mod_clm_subgridave_MOD_p2c_1d_filter
  0.04   6126.02     2.38      145     0.00     0.00  __mod_clm_dynland_MOD_dynland_hwcontent
  0.04   6128.35     2.33    53884     0.00     0.00  __mod_mppparam_MOD_real8_3d_exchange_left_right
  0.04   6130.59     2.24       50     0.00     0.00  __mod_clm_surfacealbedo_MOD_surfacealbedo
  0.03   6132.48     1.89      145     0.00     0.00  __mod_clm_hydrology1_MOD_hydrology1
  0.03   6134.35     1.88 104743339     0.00     0.00  __mod_clm_qsat_MOD_qsat
  0.03   6135.96     1.61      145     0.00     0.00  __mod_clm_slaketemperature_MOD_slaketemperature
  0.03   6137.55     1.59 13686550     0.00     0.00  __lapack_dgbsv_MOD_dgbsv
  0.02   6139.06     1.51      145     0.00     0.00  __mod_clm_urban_MOD_urbanfluxes
  0.02   6140.50     1.44    24360     0.00     0.00  __mod_clm_histfile_MOD_hist_update_hbuf_field_1d
  0.02   6141.86     1.36     1440     0.00     0.00  __mod_cu_interface_MOD_cucloud
